lease_bs_brand_jqxx.brandid,lease_bs_brand_jqxx.brandname,lease_bs_brand_jqxx.brandnameen,lease_bs_brand_jqxx.brandnamech,lease_bs_brand_jqxx.recordstatus,lease_bs_brand_jqxx.formatname,lease_bs_brand_jqxx.mainformatname,lease_bs_brand_jqxx.detailformatname
1014060,FRANC FRANC,FRANC FRANC,FRANC FRANC,ACTIVE,生活精品,家居家用,家居家饰
1014062,英皇珠宝,EMPEROR,英皇珠宝,ACTIVE,生活精品,黄金珠宝,黄金
1014064,DAVIDOFF,DAVIDOFF,DAVIDOFF,ACTIVE,生活精品,烟酒食品,烟酒茶
1014065,COLOR FOR ME,COLOR FOR ME,COLOR FOR ME,ACTIVE,生活精品,数码电子,数码单品
1014068,blackcoco,Blackcoco,blackcoco,ACTIVE,生活精品,烟酒食品,零食
1014067,BOBBI BROWN,BOBBI BROWN,BOBBI BROWN,ACTIVE,生活精品,个人护理,化妆品
1014070,猫屎咖啡,Kopi Luwak,猫屎咖啡,ACTIVE,餐饮美食,饮品烘焙,咖啡店
1014252,Ou.,Ou.,Ou.,ACTIVE,服装服饰,女装,少淑女
1014255,EBT,EBT,EBT,ACTIVE,生活精品,数码电子,数码集合
1014256,OFFICE,OFFICE,OFFICE,ACTIVE,生活精品,个人护理,化妆品
1014257,圣妮,Shiny Crystal,圣妮,ACTIVE,生活精品,杂品配饰,配饰
1013947,杰西莱,jessyline,杰西莱,ACTIVE,服装服饰,女装,少淑女
1013985,八面玲珑,无,八面玲珑,ACTIVE,餐饮美食,异国餐饮,泰餐
1014147,热风,Hotwind,热风,ACTIVE,生活精品,鞋品箱包,鞋品
1014148,亚洲蕉叶,无,亚洲蕉叶,ACTIVE,餐饮美食,异国餐饮,泰餐
1014149,汉拿山,无,汉拿山,ACTIVE,餐饮美食,异国餐饮,韩式烤肉
1014152,LILY,LILY,LILY,ACTIVE,服装服饰,女装,少淑女
1014154,渔 ,fishing,渔,ACTIVE,服装服饰,女装,淑女
1014155,ochirly,ochirly,ochirly,ACTIVE,服装服饰,女装,少淑女
1014158,优之良品,Aji ichiban,优之良品,ACTIVE,生活精品,烟酒食品,零食
1013116,香稻故事,无,香稻故事,ACTIVE,餐饮美食,中餐,时尚融合菜
1013117,现代粗粮,无,现代粗粮,ACTIVE,餐饮美食,中餐,东北菜
1013118,耶丽夏里,无,耶丽夏里,ACTIVE,大型餐饮,大酒楼,大酒楼
1013119,汉口人家,无,汉口人家,ACTIVE,餐饮美食,中餐,时尚融合菜
1013121,玛满矿,无,玛满矿,ACTIVE,餐饮美食,异国餐饮,泰餐
1013122,泰香米,无,泰香米,ACTIVE,餐饮美食,异国餐饮,泰餐
1013123,江户川,无,江户川,ACTIVE,餐饮美食,异国餐饮,日式料理
1013125,仓桥家,无,仓桥家,ACTIVE,餐饮美食,异国餐饮,日式料理
1013126,元气寿司,无,元气寿司,ACTIVE,餐饮美食,异国餐饮,日式料理
1013127,新罗宝,无,新罗宝,ACTIVE,餐饮美食,异国餐饮,韩式简餐
1013129,番屋,无,番屋,ACTIVE,餐饮美食,异国餐饮,日式料理
1013130,香芒山,无,香芒山,ACTIVE,餐饮美食,饮品烘焙,甜品
1013131,蜜,无,蜜,ACTIVE,餐饮美食,饮品烘焙,果汁
1013132,莫凡彼,无,莫凡彼,ACTIVE,餐饮美食,饮品烘焙,冰淇淋
1013193,I.T.,I.T.,I.T.,ACTIVE,大型零售,主题集合店,服饰
1013201,香啡缤,Coffee Bean,香啡缤,ACTIVE,餐饮美食,饮品烘焙,咖啡店
1013202,佳丽大酒楼,无,佳丽大酒楼,ACTIVE,大型餐饮,大酒楼,大酒楼
1013424,湘村人家,无,湘村人家,ACTIVE,餐饮美食,中餐,湘菜
